word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
visual,-0.26603195,-0.23743437,-1.8542987,0.40718794,1.0215054,-0.53891855,-1.7960984,1.1537336,-0.8350659,-1.3759495,-0.9894054,-1.3429768,0.38841757,0.6023903,-1.2350796,-0.65228444,0.7619199,0.68513185,-2.085782,-0.39792258,1.4006089,2.1536963,-0.17387271,-0.9287798,0.89575493,2.20251,-0.43692103,0.21385565,-0.05224046,2.0973568,0.7596557,0.5111461,0.8179724,-2.0813923,-0.8642114,0.19782327,-1.2676042,-0.042817675,2.3081033,0.37885588,-0.17802523,1.2694725,-0.35496077,-0.70544034,0.65444165,1.2839061,-2.1932735,-1.3643448,1.4002573,2.4107614
coalition,1.8369231,3.152888,3.0735774,0.725224,0.5776583,1.5282046,2.636577,-1.2959888,-1.157913,2.2074885,0.4595604,-0.066926874,-0.56027406,-1.1811836,-0.24041049,2.2050452,-2.2661514,1.574767,-1.8208276,-0.1373142,-1.3399075,0.123331584,3.2647078,1.7267413,-1.9618102,-0.55558443,-0.92848104,-0.09332412,-2.029368,-0.3197446,-1.4095228,-0.004117482,-3.1906376,1.1871707,-0.029799864,1.3751024,1.7936012,-2.260778,-2.5596178,2.129475,2.4256349,1.1935756,-0.62841666,0.3794832,-2.6319258,-0.056268863,0.06290283,-1.4375982,-0.25652045,-1.2634418
forum,2.311162,1.5046256,-2.3944664,-1.5740536,-1.073001,-1.1963174,1.0131829,2.6793,-3.5500278,1.4130771,-1.5771033,-1.3207004,1.8517134,0.9334223,-0.08902662,-0.28913262,-0.8790278,-0.20653667,-1.1377692,-2.0474968,0.2955636,2.8879373,0.1928992,-0.091074996,0.6734518,0.34998193,-1.2245636,-0.07585099,-1.0891501,2.1255965,1.4131005,1.5320171,-0.6768817,1.5698451,0.7138131,1.2475187,-1.7405931,0.22134276,-0.04887035,-1.9595135,0.7993911,-1.3047233,-0.6928275,-0.8123201,-0.48710546,0.04006135,0.62407607,-1.4436326,-1.2796117,-0.08999206
employed,-0.4105013,0.016637804,-0.47253653,-0.3114363,-0.15312871,0.8981728,-0.45081988,0.36084914,0.5150111,0.18718904,1.2774582,0.86908716,0.41319987,0.3138935,-0.8281698,-2.4741452,0.9161721,-0.72349566,0.32089126,-0.15658598,-1.8731611,-0.8529027,-1.699877,-0.87743497,-1.3002557,-0.01493712,-2.558221,0.8958472,-0.104931846,-1.7969441,-0.6879907,2.9782991,1.5084654,0.09498956,-0.42814934,-0.36890656,0.014854018,0.45408592,-1.1344647,1.931261,-1.8841268,-1.2156652,0.18924229,-1.5999821,1.2765688,1.4620208,-2.4089565,-1.5540022,-0.597291,0.7539345
dominated,0.45399368,2.2301934,-0.4902164,-1.9325762,0.39560935,-0.07199417,-0.7256503,0.9254105,-0.9147133,1.6027476,3.5715916,1.1277587,-1.0066969,-0.6326239,-2.0483398,1.8391966,-0.63536507,1.2923254,-0.047971096,-0.7474034,0.25615638,0.16754776,-0.87735885,-0.63542527,-1.5390568,-2.0964518,-2.8060954,0.9628555,-2.257019,-0.5644579,-0.5133937,2.9517412,0.57260895,-1.8787454,-0.31550497,-1.2852108,0.6017212,1.2315872,-2.698248,2.1405947,-1.0091436,-2.3450575,-2.2126434,-0.04263646,-1.4182937,-0.5450681,-1.2984401,-1.1489245,0.7533991,-0.83107656
davis,-0.1372008,-2.1333864,-0.7577381,0.5793076,-1.4543747,0.1342014,-0.46988395,0.7045569,0.6594621,-0.6972212,1.0703894,-0.88460165,-0.3634127,0.053522535,0.2454526,1.0149543,1.2011863,0.89267147,-2.1922243,-2.2569773,-0.4943241,-0.93692523,2.6258855,0.33483034,-1.2440683,-0.07470279,-0.55403435,-2.3267884,-0.63036025,-1.2317817,0.31783915,0.8651484,0.4381169,-0.96325177,0.77906317,0.5703269,-1.4692242,-0.12896472,0.5729921,-2.4258866,1.0174366,0.17790782,-1.4801106,1.6936432,-1.133381,-0.5975029,1.5251914,-1.118228,0.054762527,0.47552538
suggests,0.9587126,0.7372561,-0.38355687,-0.25223804,2.5425396,-1.8516033,1.1185429,0.527496,0.49474326,-1.5884533,1.5236766,-0.40971896,-1.9882717,-1.7624062,-2.856472,-1.6259519,2.592485,-0.49761868,0.82177216,-0.16726653,-1.0376159,0.20614158,-3.9581833,-0.6218973,0.33975184,-1.1513324,0.61396235,0.32810414,3.0900562,0.3599635,1.2452791,-0.13771898,2.6658785,1.003536,0.61396146,-1.3329487,-1.5047979,-0.78219986,0.17347102,-0.7555158,-1.259213,-1.34205,0.7821291,0.5302899,0.57539445,-0.5962216,-0.95799756,-0.6448247,-0.14608297,-0.16739689
periods,3.0113506,-0.08251295,-2.0780487,1.4037049,0.73845124,-0.91649663,-0.76684445,-1.4600807,-0.82815725,0.33174017,-0.8537266,-0.5263395,0.4471228,-1.3663379,0.05487898,-0.30977327,-1.1137592,2.5825775,1.1524721,3.732386,2.0160806,-0.9866084,-2.1933088,-1.590762,-1.9161575,1.0883452,1.2955201,0.9934755,-0.9471164,-1.9136128,-2.2992482,-1.1043082,3.0676284,-1.6097763,0.13189693,2.1023898,-0.5414961,2.0187519,-1.8070141,2.066735,-1.1159703,0.90714544,2.3152633,-0.45623866,-0.86870915,-0.8720991,-0.57196385,1.5229632,2.5287445,1.5698808
adult,-0.2715114,0.93481636,-0.52226496,-0.49317417,-1.3232341,0.98064834,-1.1014462,-2.0458117,0.1543363,0.015335042,-0.45243788,-1.6977772,2.1097112,-0.76712126,-0.19647425,-0.9669448,2.3468027,-0.22690566,-0.5083783,0.79129475,-0.27392098,-0.38309786,-2.3898287,-0.26610258,-1.5281929,-0.34571594,1.3019958,-1.523033,-0.86860895,2.6468365,0.26851472,2.4879472,0.7042447,-1.3191357,-1.0256034,-0.97896224,-1.0081837,0.5405259,0.70380926,-1.2725693,0.93114215,0.7318015,2.1139677,-0.3357176,-0.9704513,-0.9209944,-0.31780383,-0.828517,-1.5652869,0.9234317
reputation,1.3443921,1.4493968,-0.14887689,-1.2437603,0.2580935,-1.8080184,-4.2725353,-3.4008734,0.14773023,-0.46158892,1.3295442,-1.7949957,-0.48172054,-2.6082916,-1.1408951,-0.0565871,-0.72818834,1.2148336,-2.985881,0.9386893,-2.537705,-2.066241,0.6296199,-0.5534072,-0.11412213,1.7906315,0.0721163,-0.2820665,-2.5812356,-2.6059813,0.21498297,1.6541374,0.08334263,0.19310945,-0.037369452,0.6738782,-2.3072667,1.6322519,-0.4132757,-2.2440305,0.8021214,-1.4894599,-3.1226795,1.108485,-0.5736739,-1.1074558,-1.5825237,-1.5298241,-0.11696174,-0.25107574
