word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
extraordinary,0.43204,0.65543,-1.0181,-0.2403,1.1306,-0.24128,1.0031,0.38169,0.34605,0.55416,-0.42966,0.22828,-0.084206,-0.10348,0.4681,-0.53399,0.16162,-0.15598,-0.34916,-0.71414,0.50108,0.26344,-0.32009,-1.2611,0.39674,-0.91368,-1.1115,-0.33654,0.084642,0.92994,2.1939,0.71631,-0.27918,-0.87883,-0.23712,0.062009,-0.053006,0.29923,-0.45627,-0.41691,-0.44003,0.066308,-0.18516,0.13141,-0.43326,0.16883,0.018836,0.58258,-0.074081,0.1885
commanders,1.0022,-1.0221,0.47173,-0.45652,0.6465,-1.2998,0.44339,1.0601,-0.55626,-1.4339,-0.14579,0.038913,-0.64547,-0.051583,-0.81256,-0.19107,-0.1337,-0.20274,0.089086,-0.38122,-0.52361,0.22595,0.88531,-0.22838,-0.79889,-1.4539,-0.61426,-0.72435,-0.1741,0.50849,2.1468,0.094748,-0.80589,-0.75719,0.90317,0.24967,-0.44082,-0.74564,-1.2175,0.48059,-0.36275,0.28336,0.086783,-0.084217,0.52098,-0.81588,-0.36449,1.1429,-1.035,0.14029
trafficking,0.67069,-0.80689,-0.5195,0.40298,0.20246,0.55357,1.1142,-1.2737,1.911,0.76393,0.28793,-0.048216,-0.40899,-0.2019,1.1216,-1.3424,-0.029239,0.15663,0.48569,0.41339,0.23306,-0.63962,0.50829,0.49001,-1.4113,-1.9071,1.0483,-0.49356,0.46587,-0.27496,1.9608,-0.19247,-0.51811,-1.0397,-0.43061,0.49371,-1.2234,-0.37937,-0.73135,0.56834,-0.94967,0.46912,1.6599,-0.23183,0.79833,-0.70727,-0.14471,-0.23264,0.30899,-0.94439
branches,0.84077,0.38188,0.1951,0.04584,0.39184,0.36234,-0.0088169,-0.54085,-0.22769,-1.2329,-0.37669,-0.11229,0.40592,-0.0092463,-1.0972,0.2512,-0.45008,0.19363,0.50075,-0.34061,0.50324,-0.73018,0.53203,0.258,-1.0112,-0.23002,0.55249,0.25217,-0.58647,-0.89218,2.7088,0.23585,0.69755,0.15507,-0.29672,-0.13976,-0.9129,-0.13453,0.38534,0.20369,-0.30249,-1.0722,0.6165,0.75646,0.10982,0.2302,-0.28732,-0.75336,-0.41787,-1.1363
conflicts,0.80998,-0.10277,-0.66043,0.29857,-0.40235,1.1051,0.758,0.076853,-0.18665,-0.73662,-0.31372,0.10877,-0.90234,-0.45685,0.65346,0.090185,0.46147,-0.17634,0.79134,0.0089918,-0.15583,0.14124,0.30117,0.32313,0.15037,-0.73788,0.034874,-0.6505,0.7338,1.1627,2.5904,0.040852,-0.18859,-1.1953,-0.66692,0.57712,-1.5881,-0.93067,-0.51498,0.44324,-0.99266,0.01732,0.423,0.45216,-0.087012,0.39838,0.34704,0.86862,-1.2046,-0.76116
influenced,-0.16821,-0.25198,-1.2708,-0.88407,-0.30885,0.50036,-0.61375,-0.54903,-1.3399,1.1436,0.69531,0.70039,-0.13034,-0.059655,-0.27425,-0.04226,0.4091,-0.44078,0.18193,-0.36897,0.036189,0.1871,-0.056442,0.31351,0.6297,-0.88302,-1.5421,-0.43224,-0.32476,0.38644,2.1851,-1.0541,0.58563,-1.4088,-0.14341,-0.42883,-0.57733,0.27264,-0.68998,0.64952,-0.21746,0.19969,-0.0021769,0.082642,0.28628,0.15215,-0.35403,-0.3552,-0.31663,-0.18941
mounted,0.24087,-0.50568,1.0109,-0.59317,-0.42691,0.38062,0.21411,-0.042429,-0.059873,-1.2071,-0.23461,-0.4794,-0.50209,0.52626,-1.2928,-0.26923,-0.44127,0.29881,-1.2471,-1.474,0.38928,-0.645,-0.40072,-0.39864,-0.4567,-1.1806,-0.083241,0.48545,-0.27573,0.43582,2.0598,-0.18077,0.11076,-0.46516,0.066463,0.88488,0.34844,-0.59175,-1.1926,-0.42999,0.54412,0.29091,-0.61135,-0.18034,0.51873,-0.2946,0.4044,-0.53882,-0.37534,-1.1058
promising,0.10215,0.11156,0.20395,-0.30112,-0.050883,0.13571,-0.74687,0.059476,0.065696,1.265,-0.043783,-0.13406,0.036093,0.32503,0.021734,-0.118,0.33217,-0.16335,0.43496,-0.17103,0.11816,0.19138,-0.22913,-0.28313,0.16295,-1.1114,0.035631,-0.33444,0.099378,0.082141,2.3405,0.56909,-0.47014,-0.58646,0.25479,0.05987,-0.38026,0.71357,-0.61367,-1.0563,-0.46106,-0.089202,-0.095039,-0.21752,0.37199,-0.09613,-0.1109,0.53958,0.14436,0.12733
10-year,-0.30995,0.69697,0.34284,-0.99732,1.0083,0.32297,-0.45652,-0.65176,-0.52727,0.63614,-0.57868,-0.10127,-0.26104,0.21524,0.98621,-0.57064,-1.1022,-0.21298,0.1285,1.0209,0.081657,0.095348,-0.6784,-0.64213,-0.6438,-1.3827,1.0178,-0.10836,0.26535,0.86989,2.1295,-0.68223,-0.16545,1.5537,1.1739,-0.70748,-0.56855,-0.6396,-0.12151,-1.1631,-1.2336,-0.74942,0.83711,0.20998,-0.29038,-0.86237,1.0628,0.83247,0.16665,-0.13301
matthew,-0.37502,0.84073,-0.18321,-0.42155,1.1552,0.57479,-0.60282,-0.2969,0.21297,-0.45237,-0.29249,1.0591,-1.0,-0.15362,0.023221,-0.15909,0.51495,-1.3825,-1.146,0.4015,0.15168,1.1236,0.23181,0.28857,0.62451,-0.49986,0.76623,-0.65599,-0.77724,-0.034142,0.95363,-0.75382,0.98717,-0.46709,0.28659,-0.39473,0.67625,-0.65549,0.3323,0.034653,0.57598,0.65864,-0.1256,-0.32815,0.56837,0.53905,0.38592,-0.77832,0.00041654,0.60577
