word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
easy,0.083593,0.39824,-0.90454,-0.0050385,0.46496,0.85628,1.2439,-0.90065,0.20512,-0.3293,-0.52603,0.35712,-3.9871,-0.41013,0.17871,0.15792,0.34955,-0.52331,0.14172,-0.50487,-0.33821,-0.21751,-0.072673,0.84147,-0.22719
least,0.49457,0.26938,0.28072,-0.4518,-0.63633,0.21695,1.386,-0.55261,-0.60492,0.37937,-0.0066543,0.33671,-4.3253,0.74009,0.37801,0.10061,0.87957,-0.6611,0.1237,-0.93558,0.11349,0.44064,-0.14545,0.015325,-0.86836
business,0.077507,0.80513,-1.1954,-0.78154,1.3877,-0.018525,0.49208,-0.98179,1.0274,-0.063191,-0.44426,0.055979,-4.6939,0.034159,0.55451,-0.48754,0.28644,-0.059675,0.11087,0.00047241,0.067165,-1.4893,-0.86799,-0.43494,-0.45832
wear,-0.41459,-0.66893,0.072897,-1.2837,-0.34257,0.46651,0.58579,-1.2067,-0.25414,0.084992,-0.042549,-0.54822,-4.8801,-0.90711,-1.3202,0.71405,0.58172,-1.7746,0.27132,0.44514,-0.51733,1.1868,0.74156,0.12872,-0.76915
:o,0.62422,-0.27107,0.08211,0.005107,-0.14493,0.079775,0.57948,2.0657,-0.50427,0.8073,-0.38127,-0.45634,-2.0888,-0.5461,1.2103,0.11439,0.1597,-0.19857,-1.158,0.27436,0.42921,0.32346,0.070645,1.5051,0.18091
football,0.36491,0.46657,-0.64874,-1.6317,-0.10499,0.29539,1.102,-0.37133,-0.37283,-0.80927,0.18891,0.31195,-4.1618,0.65512,1.4357,-0.0057378,-0.3075,-1.2917,-0.39751,0.65063,-0.83692,0.68736,0.19409,-1.3879,-0.064282
learn,0.58035,0.82394,-0.95395,0.19333,-0.050342,-0.20565,1.5672,-1.0476,0.8112,-0.58665,-0.94024,0.38921,-4.6877,-0.3566,-0.21882,0.362,0.21614,-0.39527,0.85753,-1.0633,-0.018846,-0.20455,-0.65078,0.39326,0.076964
knew,0.28602,0.87077,0.90741,-0.093098,-0.75814,-0.37049,1.3324,-0.3301,-0.888,-0.095141,-0.34275,0.93087,-4.4412,-0.3078,0.21559,0.31001,0.8308,0.15952,0.34923,-0.396,1.2716,0.78887,-0.011822,0.19585,-0.37148
worth,-0.26559,1.0267,-0.21582,-0.17478,-0.061777,0.28052,0.73311,-1.3842,-0.84804,0.13089,0.15464,0.45867,-4.3862,0.19371,0.060209,0.18071,-0.1115,-0.039883,0.21777,-0.64575,-0.65452,-0.39837,-0.18885,1.1001,-0.68782
weather,-0.86476,-0.6975,-0.69574,-1.2633,-0.19891,1.0855,1.8611,-1.1699,0.14969,0.4091,-0.93497,0.25987,-3.6783,1.2144,1.5095,-0.38407,0.19425,-0.095738,-0.18508,0.48539,-0.045575,-0.71927,1.2073,0.026715,0.090112
sounds,-0.48018,-0.4813,0.42723,-0.16453,0.16706,0.79156,2.2335,-0.62469,-0.46821,-0.25475,-0.17126,0.89762,-3.6204,-0.66844,1.1453,0.10699,0.81768,-0.047433,-0.14116,0.20972,0.40326,0.23082,-0.069262,0.48581,0.73323
fire,-0.32758,0.14634,0.49409,0.34161,-0.34152,0.11638,0.97545,-0.11533,0.62231,0.099155,0.71008,0.29468,-3.9224,0.22058,0.61609,-0.096445,0.082702,0.20262,0.14968,-0.30828,-0.35875,-0.29814,1.0013,-0.74056,0.84518
crying,-0.71141,-0.031461,1.4791,0.28417,-0.39213,-0.42522,2.1894,-0.56323,-1.3977,0.63534,-0.89835,0.9655,-3.4884,-0.60573,0.36111,0.67512,-0.47096,-0.036578,-0.74852,-1.1892,0.4947,0.81633,0.6957,0.058964,-0.17137
month,-0.33309,1.3413,0.28396,-0.7477,0.55314,-0.57133,1.2026,-0.13058,-0.12514,0.27723,0.0053992,0.39273,-3.6606,1.5906,-0.075937,-0.34245,0.71415,-0.66325,-0.4484,-0.39419,-0.99257,-0.076361,-0.22238,0.96051,-0.12478
hand,-0.60333,-0.45794,-0.10913,0.48616,0.26582,0.097204,0.1379,-0.82368,-0.098109,0.63719,0.74834,1.0099,-4.3704,-0.60692,-0.73595,0.3828,0.57268,0.31521,-0.78625,-0.37303,-0.76766,0.75813,0.98118,0.50311,-0.28853
sound,0.068259,-0.34138,0.5292,0.046622,0.52329,0.91811,1.7084,0.050088,0.62563,-0.022857,-0.54352,0.98915,-3.7053,-0.68173,0.24324,0.5263,0.3938,-0.035467,0.14857,0.00093236,0.13215,-0.097759,0.16954,-0.18933,0.41131
literally,-0.32707,-0.081154,1.1001,-0.62844,-0.42363,0.045287,2.1766,-1.1968,-1.1983,0.45606,0.22344,0.4884,-4.0508,-0.48771,0.39211,1.0889,0.17266,0.37751,-0.16369,-1.0868,0.41764,0.53695,0.49898,0.26026,-0.23867
whatever,0.10416,0.37708,-0.59571,0.43044,-0.45516,-0.21648,1.5967,-0.40531,-0.38382,0.28217,-0.77429,0.38644,-4.2098,-0.4624,0.70796,0.52114,0.24497,-0.65784,0.38764,-0.055783,0.71525,0.48897,-0.07207,0.9235,-0.45282
light,-0.88979,-0.74363,0.1855,0.4798,0.021047,1.113,0.8961,-0.24408,0.77952,0.22079,0.11942,-0.046751,-4.2026,0.32559,-0.23803,0.17227,0.23866,0.33187,0.7146,0.521,-0.68861,-0.26925,0.99232,0.37772,-0.069561
info,0.5271,1.329,-0.37225,-0.8239,0.68935,-0.2847,-0.081304,1.5315,0.48288,0.27428,0.74616,-0.02645,-2.7957,0.2658,0.11024,0.010884,0.14398,-0.37522,-0.74435,0.14349,-1.1941,-2.2784,-1.3302,-0.0020095,-0.46547
serious,0.39127,0.67818,-0.35924,-0.19231,0.6029,1.1135,1.4048,-0.0033025,0.16638,0.5237,-0.87116,0.90984,-3.4945,-0.20573,0.9821,0.63832,0.57208,-0.6294,-0.42466,-0.76455,0.68349,0.5344,-0.16008,0.078071,-0.82467
tout,0.77159,-1.0981,-2.2233,1.328,-0.6298,0.3884,-0.43416,-0.081471,0.18496,-0.37828,-0.19323,-0.89706,-2.0165,0.39805,0.7123,2.075,-0.60737,-0.5792,-3.943,1.5852,0.2974,-0.72704,0.45263,-0.35568,-0.17361
straight,-0.22002,0.73513,0.60993,-0.51851,0.33124,1.0915,0.7029,-0.43426,-0.10485,0.58072,-0.45032,0.80309,-4.0881,-0.08471,0.2072,0.18187,0.40694,-0.78695,-0.092152,-0.33699,-0.031894,0.93914,0.91941,-0.39277,-0.23438
eating,-0.93049,0.5541,0.9343,1.0354,0.05838,1.1454,1.55,-2.108,-0.54344,0.81618,0.27495,-0.36006,-3.6991,-1.3369,0.52501,-0.24255,0.6562,-0.76124,-0.089258,-0.65529,-0.23448,0.52553,-0.55127,0.30052,0.93027
mother,-1.1538,0.35302,0.42336,0.6585,0.41522,-0.59161,1.6598,0.032121,-0.42962,0.18534,-0.30366,0.21844,-3.8577,0.24523,-0.32361,-0.31029,0.70883,-0.083037,-0.051809,-0.053355,0.99868,0.81361,-0.39237,-0.33642,-0.021506
account,0.8481,0.55402,-0.017825,-0.80085,1.212,-1.6228,0.41016,0.17205,-0.6894,0.71763,0.1957,0.47621,-3.6408,-0.7999,0.089744,0.86771,0.58954,-0.17732,-0.7581,-0.54481,-0.23411,-1.0188,-0.59961,0.33831,-1.571
rather,-0.20807,0.25656,-0.70599,0.023463,-0.43903,0.98385,1.2676,-1.3207,-0.21223,-0.39137,-0.48635,0.58485,-4.4237,-0.10583,-0.22426,0.41168,0.51778,-0.45267,0.45065,-1.3642,0.22667,0.44571,-0.17395,-0.03013,-0.55012
type,0.44911,-0.19895,-0.47703,0.21622,0.83392,0.71772,1.0674,-0.23235,0.7977,0.16973,-0.42782,0.6522,-3.873,-0.33917,-0.17546,1.2659,0.68699,-0.3905,-0.2384,0.49339,0.43594,0.2894,0.11263,0.089456,-0.50848
alright,-0.46399,0.55015,0.23156,-0.17287,-0.86612,0.16671,1.779,-0.11196,-1.0391,-0.12751,-1.125,0.60721,-3.2782,-0.55799,0.86114,-0.019914,0.58751,-0.6842,-0.55996,-0.32915,0.96819,0.43231,0.38438,1.0354,0.011732
three,0.74651,0.55743,1.1199,-0.071282,0.020448,0.2907,1.2856,-0.93757,-0.65912,0.20197,0.85972,0.21294,-4.0401,1.1427,-0.069181,-0.75733,0.38232,-0.32294,0.093781,0.065144,-0.92275,0.20484,0.14662,-0.65888,-0.63617
teamfollowback,0.12305,0.85856,-1.8803,-1.2969,-0.43101,-0.46806,0.39267,0.53107,-1.0968,0.74218,0.0021372,0.59889,-1.6328,-0.91141,-1.2509,-0.41836,-1.1104,-1.4719,-0.068373,-0.26162,-0.14365,-2.1112,0.16346,-0.60074,-0.17403
shoutout,-0.23483,1.252,-0.54826,-0.30827,0.70465,-1.222,0.78358,0.22866,-1.6106,0.2067,-0.92474,-0.42725,-2.3129,0.056867,-1.5736,-0.042697,0.069056,-1.3972,-1.3157,0.46885,0.052067,-1.1927,0.078117,0.34205,-0.60137
honestly,0.16889,0.40847,0.099375,-0.67249,-0.58474,0.16742,2.0928,-0.84687,-1.3703,-0.1347,-0.88316,0.48392,-4.1642,-0.43868,0.46523,0.8132,0.14691,-0.42211,0.43554,-0.45779,1.0583,0.68767,-0.19068,0.35595,-0.53704
shopping,-0.87153,0.0038353,0.62383,-0.94453,0.25796,0.65874,0.53978,-0.65661,0.8525,-0.13197,-0.66023,-1.8775,-3.5309,-0.61829,0.29144,-0.32751,0.085737,-1.3261,-0.73404,-0.59408,-0.77177,-1.1259,-0.65975,0.37953,0.65029
instead,-0.26109,0.43097,0.49827,0.19229,-0.17634,-0.034483,1.2107,-1.3609,-0.39437,0.64946,0.0056518,-0.034618,-4.3467,-0.50365,0.52859,0.42823,-0.27398,-0.60894,0.028866,-0.77741,-0.42861,0.16116,-0.27532,0.15168,-0.24497
official,-0.17569,0.61605,0.22807,-0.47727,0.58091,-1.0469,1.1906,1.2583,0.4057,-0.75362,0.52161,0.879,-3.1809,-0.16901,0.026443,-0.093768,0.055551,0.2719,-0.10414,0.31932,-0.83681,-0.60492,0.17548,-1.0507,-0.076183
exactly,0.51486,0.14911,-0.021166,-0.15062,-0.44309,0.10494,1.4501,-0.86128,-1.1499,0.031077,-0.69383,0.94549,-4.093,0.034173,0.55014,0.058078,0.51494,0.056513,0.086744,-0.33226,0.81453,0.20829,-0.28729,0.58806,-0.60575
country,-0.29159,-0.036755,-0.14379,-0.62533,-0.28054,-0.083234,1.0597,-0.56264,0.12039,-0.29531,-0.57192,-0.49519,-4.5127,0.5549,-0.071129,-0.13111,-0.26254,-0.16039,0.70769,0.24018,-0.27281,0.3087,-0.47999,-1.4149,0.68254
become,-0.21112,0.14126,-0.74599,-0.72244,0.29167,0.39773,1.283,-0.40302,-0.22922,-0.53883,-0.27068,0.64217,-4.4822,0.19377,-0.46397,0.3434,0.34473,0.057185,1.3989,-1.4393,0.095111,0.44194,-0.8319,-0.75337,-0.46366
goodmorning,-1.0124,1.45,0.26257,0.1706,-0.036693,-0.45492,1.6303,0.22192,-2.033,0.49273,-1.7827,0.26178,-2.034,0.057195,-0.6061,-0.33495,0.97806,-0.91407,-0.95584,0.69681,0.31173,-0.83739,-0.44503,1.1715,-0.1798
sougofollow,0.17654,0.039845,-1.3996,-2.0067,-0.90004,-1.4435,-0.03264,0.36214,-0.89496,-1.0374,-0.098089,0.58523,-1.1897,-1.3405,-2.3434,-0.72707,-0.0076358,-1.652,0.11556,1.6017,-0.47903,-2.7857,0.70613,-1.1117,1.2838
ate,0.4832,-0.42756,1.7874,-0.044928,-0.963,-0.26455,0.45832,-0.26156,-0.024076,-0.27007,-0.96727,-2.4147,-3.2089,-0.81825,-0.22525,-0.49277,0.54521,-0.27217,-0.60253,-0.66173,-0.44165,1.3034,-0.082947,2.0333,0.10613
months,-0.38587,0.95265,0.76918,-0.6722,0.44117,-0.45616,1.1594,-0.77692,-1.359,0.65743,-0.029589,0.49663,-3.7641,1.2737,0.15856,-0.37666,0.41631,-0.28877,-0.39547,-0.98878,-0.68331,0.12696,0.11259,0.42779,-0.41095
wearing,-1.0235,-0.75779,1.0242,-1.316,-0.16786,0.47738,0.51983,-1.2439,-0.83043,0.33023,0.34814,-0.040118,-4.4564,-1.0982,-0.68257,0.33003,0.14985,-1.0013,-0.22106,0.53258,-0.38499,1.2701,0.53647,-0.66909,-1.1095
chat,0.72234,0.33438,0.24454,-0.11189,0.91475,-0.51871,0.22853,1.1805,0.52257,-0.39032,-0.58948,-0.79707,-2.9794,-1.2378,0.46289,1.1848,-0.094942,-0.82429,-1.2213,-0.2733,-0.11928,-0.95941,-0.057541,0.4684,-0.43568
reading,0.20497,0.68135,0.90055,0.10242,0.25843,-0.10331,1.7554,-0.85618,-0.24578,-0.53101,-0.53819,0.80281,-3.559,-0.12707,0.7496,0.034547,-0.030053,0.38047,-0.36524,-0.83226,-0.80377,-0.61782,-0.89465,-0.16094,-0.50413
whats,0.99083,0.81926,0.75518,0.28614,0.3799,-0.12612,0.33077,0.030267,-0.53795,-0.63712,-1.2923,-0.645,-3.7598,-1.4507,0.46459,0.12509,0.20013,-0.10977,-0.36076,-0.21592,0.70703,-0.47168,0.42395,1.1094,-0.38621
boca,0.24888,-0.97777,0.70641,0.64224,-0.72521,1.0048,-0.90131,2.3996,0.6483,-0.79615,-0.32618,-3.0376,-1.574,-0.33058,0.41053,-0.14323,-1.3733,-0.46097,0.45759,0.11334,0.11665,0.66279,1.5204,-0.13338,0.18365
catch,-0.11525,1.1921,0.4127,0.36934,-0.50001,0.35241,1.4732,-0.2749,0.071919,-0.53507,-0.61169,0.87485,-3.6863,0.2286,0.085026,0.50243,0.12547,-0.76491,-0.67428,-0.54428,-0.14939,0.2989,1.3245,-0.2469,0.19364
death,0.021377,0.10369,0.053792,0.99278,0.053254,-0.63449,1.5244,-0.24008,-0.040619,0.37077,0.32772,0.71652,-3.6274,0.85833,0.44822,-0.096083,0.11771,0.84481,0.12627,-1.0624,0.056151,0.73269,0.14332,-0.97436,0.46834
openfollow,-1.0514,1.3975,-2.2013,-1.471,0.54963,-1.6338,0.59934,1.456,0.10283,0.28748,0.20738,1.0078,-0.68351,-1.3142,-1.6102,0.12063,-0.77237,-1.8104,-1.3801,-0.14528,-0.54683,-1.0609,-0.35666,0.71813,-0.50996
shower,-1.6493,0.33315,0.81582,0.36654,0.47834,0.73602,1.3234,-0.88784,0.38742,0.52625,-0.25308,-0.0075584,-3.4699,-0.3966,0.039903,0.73243,0.91272,-0.52122,-0.75293,-0.58501,-0.52482,-0.06315,1.3302,0.90403,0.36702
art,-0.60111,-0.78449,-0.17668,-0.1603,1.1819,-0.23318,0.85032,-0.11741,0.6122,-0.67264,0.17432,0.074486,-3.7934,-0.14081,-0.16446,0.044825,0.37728,0.72096,-0.053711,0.55805,-0.76145,-1.0378,-1.0496,-0.36435,0.2108
front,-0.64276,-0.23709,0.34453,0.067713,0.17912,0.041389,0.26563,-0.73328,0.58509,0.64473,-0.020828,0.3484,-4.3532,-0.01672,0.076988,0.75669,0.21479,-0.42323,-0.76686,-0.20098,-0.17666,-0.13762,1.2389,-1.1678,-0.5827
crush,0.041472,-0.68354,0.89002,0.079389,0.049475,-0.35581,1.4291,1.2662,-0.27341,0.32642,-0.60209,-0.64343,-2.9005,-0.083994,0.11992,1.499,0.98754,-0.6939,-0.098691,-0.33421,0.20806,0.22803,-0.32057,0.047609,-1.5318
boring,0.54285,0.19521,0.42417,-1.256,0.64294,1.1935,2.006,-0.19171,0.13497,0.6641,-1.9483,0.51929,-2.9851,0.50069,1.0646,0.88739,0.65761,-0.93117,-0.44223,-0.45119,0.13189,0.62025,-0.39046,0.34734,-0.1574
beach,-2.3753,-0.28504,0.75985,-0.97004,-0.77088,0.7374,0.94173,-0.43263,0.58163,0.11714,-0.57438,-0.82711,-3.6898,0.24879,0.50887,-0.27429,0.25912,-0.60635,-0.17212,0.58951,-0.72685,-0.67133,0.28167,-0.75017,1.2983
hurts,-0.41176,-0.52606,-0.25577,0.70467,-0.1817,-0.013467,1.8991,-0.92865,-1.1042,1.0188,-0.74731,1.1093,-3.1707,-0.28182,0.60347,0.5701,-0.3436,0.24565,0.60006,-0.98843,0.23095,1.4029,1.5689,1.1453,-0.31345
heat,0.19675,0.84993,-0.40735,-0.79122,-0.43254,1.0784,0.80974,0.012239,-0.017593,-0.27525,0.033504,0.50346,-3.5626,0.70125,1.024,-0.20978,-0.37778,-0.93486,0.5546,0.31131,-0.73793,0.76567,2.1186,-0.40522,0.050475
child,-0.72576,0.40073,-0.041544,0.92706,0.99429,-0.90944,1.2618,-0.32935,-0.18241,0.41867,0.05083,0.38727,-4.0082,0.18288,-0.16037,-0.05441,0.48821,0.065027,0.48411,-0.63024,0.57902,0.69124,-0.60869,-0.99102,0.22052
mouth,-0.69247,0.015485,0.087218,1.4157,0.62665,0.21719,1.2109,-1.0223,-0.0068606,1.0524,-0.1609,0.86278,-3.7374,-0.78063,-0.067139,0.26446,0.47769,-0.37711,0.13732,-0.60395,0.74122,1.3343,1.5674,0.37091,0.13666
played,0.52887,0.5997,1.0502,-1.0242,-0.86072,0.40999,0.84075,-0.12928,-0.71412,-1.0658,0.1933,1.5332,-4.1827,0.2933,0.84237,0.34721,0.66849,-0.08207,0.41609,-0.21356,-0.5491,1.082,0.68583,-0.75203,0.082578
unfollower,0.77716,1.3897,-0.34285,-0.99627,1.0903,-1.7515,0.9387,-1.6275,-0.9321,-0.24193,1.2122,-0.060032,-1.2358,0.85306,0.12969,0.47532,0.77458,-0.61238,-0.64251,-0.12275,-0.22156,-1.6429,-0.92669,-0.57274,-0.7653
teacher,0.19484,0.33447,0.93546,-0.48329,1.1514,-1.2814,1.5305,-0.3708,0.57756,0.24608,-0.78535,-0.32367,-3.6943,0.12604,1.253,0.014313,1.0713,0.12095,0.07319,-0.47222,0.99402,0.29617,-0.61875,0.097479,-0.90367
coffee,-1.4532,0.25594,0.081679,0.49081,-0.059128,0.63656,1.4566,-1.0607,0.47903,0.47616,0.85016,-0.40645,-3.5843,-0.5237,0.46344,-0.50906,1.2432,-0.54121,0.19375,0.35703,-0.9885,-0.69335,-0.33998,0.71827,1.0704
chelsea,0.5867,0.52568,-0.21607,-1.4259,-1.371,0.44783,-0.49934,1.3785,-0.11744,-0.43738,0.74114,0.40229,-3.1819,0.7274,1.1543,-0.48782,-1.0067,-1.1733,-0.54304,-0.48163,-1.3062,1.0608,-0.46025,-1.0867,-0.85849
tomar,0.48821,0.46763,0.46122,1.0889,0.039891,1.816,-1.25,0.44237,0.88231,-0.86548,-0.26374,-3.4786,-2.505,-0.52981,1.1783,-0.66043,-0.17023,-0.24103,-0.18295,-0.63827,-0.17184,-0.53165,0.12935,1.6132,0.65708
round,-0.74681,0.40575,0.76244,-0.49926,-0.067388,0.67975,0.25426,-0.41372,0.15444,-0.17953,-0.17474,0.29889,-3.9994,0.72436,0.14442,-0.0068141,0.21504,-0.74715,-0.62657,0.19542,-1.0239,0.33997,1.563,-0.33633,0.046848
match,0.39304,0.0012018,-0.96841,-1.1391,-0.71713,0.4382,0.14696,0.079529,-0.052263,-0.66014,0.39686,0.51126,-3.5505,1.4328,0.85057,0.99775,-0.32376,-0.90502,-1.9819,0.4701,-1.4068,0.50179,0.49189,-0.83705,-0.33304
boss,-0.31842,0.68676,-0.51459,-0.34333,-0.2864,-0.20492,0.16199,0.84884,0.28903,0.21677,-0.31534,0.44832,-3.4762,-0.0762,0.88291,-0.14146,0.42844,-0.91535,-0.92923,0.28549,0.34761,0.58546,-0.26337,-0.20295,-0.28849
shows,1.1687,-0.088595,0.88752,-0.4041,0.79915,-0.14131,1.1989,-0.79636,-0.19018,-1.0963,0.012972,-0.42616,-3.8783,0.44686,-0.034906,0.015831,-0.66665,0.0064478,0.0631,-0.60387,-0.31016,-0.074678,-0.3564,-0.62162,-0.065398
breakfast,-1.2631,0.97467,0.58564,0.24308,-0.00048782,0.78041,1.3769,-1.1552,0.31112,0.18297,0.24571,-0.59838,-3.431,-0.57546,0.72326,-0.37095,1.6455,-1.7549,-0.82295,0.014697,-0.52037,-0.16713,-0.91294,1.0092,1.2327
clothes,-1.0323,-0.16899,0.61906,-0.48984,0.78803,0.56856,0.64321,-1.9082,-0.76225,0.65583,-0.085353,-0.50772,-4.1939,-0.73514,-0.82979,0.31707,0.7666,-1.5069,0.04832,0.19709,-0.46408,-0.048761,0.58434,0.31618,-0.62349
throw,-0.093499,0.81163,0.50686,0.70394,-0.47586,0.43752,0.90048,-0.84243,0.23298,-0.060965,0.13304,0.60487,-4.1322,-0.41924,-0.16121,0.18289,0.8187,-1.3616,-0.067428,-0.43454,-0.2258,0.89626,1.9278,-0.19795,-0.11904
thoughts,-0.18828,0.38131,-0.17412,1.2872,0.22122,0.40871,2.0001,-0.93717,-0.29196,-0.37645,-0.77242,0.77244,-3.5705,1.1158,0.33211,0.37446,-0.13665,-0.064286,0.66213,-0.51703,0.309,-0.403,-0.025331,-0.2622,-0.74351
texting,-0.45353,1.4179,0.96606,0.68107,0.57283,0.28627,1.3064,-0.72339,-0.6109,0.86472,-1.5098,0.65145,-3.1998,-1.3259,0.48643,1.1933,-0.42454,-0.63197,-0.10759,-1.0228,0.93809,-0.61211,-0.016724,-0.24139,-1.4808
thursday,-0.81878,0.76539,0.41181,-1.1554,0.22093,-0.73143,1.7047,-0.62448,-0.34001,-0.24932,-0.46008,0.36927,-3.3686,1.1328,0.84949,-0.60852,0.43005,-0.8674,-1.0757,-0.01617,-0.6631,-0.64081,0.65551,0.27387,0.83179
whatsapp,1.865,0.6414,0.56377,0.011889,1.0863,-0.10846,-0.93687,1.5482,-0.41065,0.74116,0.22732,-0.9664,-2.1279,-1.3198,0.25663,0.6442,0.65948,0.27613,-0.59845,-0.73565,0.59431,-1.4736,-0.1373,0.88483,-0.77323
followme,0.1544,0.48936,-1.0324,-1.387,-0.77101,-0.58331,0.37465,0.60974,-0.83457,-0.25333,-0.8683,0.57287,-1.6716,-1.0556,-1.8193,-0.14307,-0.67314,-1.2572,-0.308,0.95253,-0.13801,-2.7955,0.0062109,-0.65481,-0.10622
history,1.2712,0.24266,0.22238,-0.661,0.44286,-0.59389,1.6355,-0.30264,0.28732,-0.59472,0.046785,0.60496,-3.8291,0.9782,1.1357,0.011575,0.12622,0.45198,0.23513,0.040956,-0.88458,0.21585,-0.5444,-0.55018,-0.14772
shout,-0.63385,1.4862,0.044072,0.053509,0.21276,-0.63619,1.1462,0.044281,-1.047,-0.27095,-0.8015,0.2522,-3.0719,-0.099022,-0.83805,-0.028291,0.032069,-1.2078,-0.63921,0.1341,0.21111,-0.37752,0.34497,-0.30442,-0.075099
cake,-1.0327,0.06449,0.807,0.89793,0.055082,0.49512,1.4572,-0.53937,0.073718,0.11263,0.9535,-0.22359,-3.2569,-1.0959,-0.24933,0.15011,1.5693,-1.3038,-0.43958,0.86215,-0.90223,0.25763,-0.58111,1.1424,0.80876
collected,0.24111,0.041231,0.12541,-0.41972,-0.00040917,-0.014043,-0.20279,-2.262,-0.78036,-0.38037,1.3979,0.39997,-2.0051,0.38144,-1.4026,0.36226,0.95433,0.64345,1.0492,-0.90257,-0.62438,-0.83396,-0.24754,0.48473,-0.59433
giveaway,-1.0576,0.66019,-0.5696,-1.0472,0.43966,-1.1471,0.75647,-0.16051,-0.41967,-1.0576,1.5009,0.5285,-2.7632,-0.19861,-0.9569,-0.57237,-0.0018325,-1.1161,-0.083512,0.79158,-2.1001,-1.4273,0.037155,1.3818,-0.20555
write,1.1652,0.63324,0.47338,0.45205,0.27021,-1.008,1.5281,-1.1739,0.25396,-0.82042,-0.78121,0.78792,-4.1194,-0.74266,-0.22126,0.49526,0.66434,-0.0075929,-0.35686,-1.0826,-0.15331,-0.28006,-0.47192,0.59004,-0.61437
winter,-0.99541,-0.58091,-0.20015,-1.1311,-0.23323,0.8997,1.2102,-0.96783,-0.26246,-0.3539,0.20175,0.38503,-3.5827,0.76316,-0.031194,-0.092785,0.49201,0.050903,-0.63634,0.6413,-1.4666,-0.17529,0.39575,0.00067332,0.9363
historia,0.99868,-0.74351,0.79117,-0.57371,1.0044,-0.019384,0.15108,2.6473,-0.43323,-1.3994,-0.090104,-2.4276,-0.99361,0.67873,1.1466,0.66626,-0.45645,1.8303,0.15299,-0.10758,0.059124,0.034066,-0.25189,0.094869,0.42352
thinks,-0.51213,0.13056,0.507,-0.28644,-0.22644,-0.46383,1.293,-0.54318,-0.61711,-0.16926,0.18555,0.77829,-4.3367,-0.97841,0.5822,0.21215,-0.022632,-0.16435,0.39875,-0.34916,1.8047,0.96536,-0.20982,-0.32909,-1.2659
ton,0.43216,-0.2635,-1.3114,1.7118,-0.01547,0.13062,-0.45569,0.32537,0.41762,0.21788,0.45757,-0.15591,-2.4304,-0.27115,0.44916,0.72143,0.97076,-0.65752,-3.1843,0.90574,-0.17089,-0.66892,0.66089,-0.64332,-1.0086
bought,-0.66179,0.43535,1.5052,-0.68893,-0.30125,-0.21441,0.40812,-0.96543,-0.85913,-0.076279,1.2827,0.15245,-4.4121,-0.94613,-0.38073,-0.19172,1.5766,-0.44434,-0.053447,0.31281,-0.23784,-0.065015,0.20808,0.42424,-0.58455
track,0.042984,0.88204,0.267,-0.63249,0.76634,0.15671,0.81545,0.074775,0.3738,-0.69143,-0.20714,1.0119,-3.7433,0.066671,0.29328,0.76843,0.094764,-0.29037,-0.051424,0.41253,-0.9114,-0.26743,0.7729,-0.53608,0.33772
south,-0.50147,-0.040454,0.12161,-1.0343,-1.0182,0.030346,0.50544,-0.39517,0.84947,0.1335,-0.34451,-0.23021,-4.1389,1.0818,0.78309,-1.0244,0.0010851,0.1336,-0.043421,0.31936,0.03477,-0.50326,0.24435,-1.7112,0.50379
hermosa,-2.0862,-1.2116,0.39716,-0.35493,0.81508,0.17783,0.3147,3.3498,-1.5264,-1.5121,-0.26207,-2.2461,-0.83244,-0.24752,-0.40444,0.040282,0.18024,0.44494,-0.086716,1.1106,1.5079,-0.83998,-0.14311,1.1959,-0.195
fashion,-1.0618,-0.74601,-0.28375,-1.2646,1.2012,0.11948,0.75129,0.22459,0.42224,-0.77092,0.35408,-0.22724,-3.4628,-0.54871,-0.81186,0.16895,0.0011222,-0.7451,-0.14037,1.1259,-1.1187,-0.78684,-1.2874,-0.84603,-0.25663
born,-0.67841,0.19366,0.30038,-0.099048,-0.26179,0.072268,1.0632,-0.044228,-0.72025,-0.438,-0.056681,0.48254,-3.732,0.67991,-0.8788,-0.30631,0.11481,0.3509,0.62715,-0.44231,0.35452,0.78197,-0.65872,-0.62894,0.55722
follows,0.027824,0.59168,-0.10201,-0.33742,0.44085,-1.1133,0.73067,-0.32137,-1.9225,-0.6204,-0.092059,-0.020257,-2.8655,-0.55659,-0.86508,-0.033953,-0.94234,-1.0687,-0.33671,-0.57372,0.28199,-1.081,0.61982,0.37657,-1.2807
tears,-0.56525,0.068957,0.42862,1.552,-0.46803,0.096009,1.9082,-0.58971,-0.87585,0.40541,-0.068809,1.2181,-3.3164,0.74132,-0.40421,0.56543,-0.40628,0.46795,0.35835,-0.70962,-0.2792,0.86337,0.99686,0.47448,0.021637
watched,0.32954,0.57315,1.8943,-0.76485,-0.89993,-0.26658,1.9934,-0.4641,-0.97626,-0.83539,-0.097686,1.099,-3.6037,0.13745,0.43009,0.77513,1.1387,0.68771,-0.48186,-0.48434,-0.23986,0.50446,-0.10909,-0.47322,0.30123
