word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
thing,0.16975,-0.020645,0.21225,0.064267,0.39214,-0.044754,2.2341,-0.61479,-0.55764,-0.17259,-0.26628,0.44421,-4.8733,0.20317,0.39283,0.84204,0.60424,-0.4735,0.064533,0.10996,0.43413,0.5381,0.099847,0.3911,-0.29941
hey,-0.011587,0.6575,0.19401,0.1987,-0.69354,-0.21891,1.51,1.2904,-1.0422,0.24974,-0.49163,-0.1556,-3.1915,-1.0046,-0.057773,-0.31536,0.4798,-0.47948,-1.0734,0.52967,0.80522,0.041814,-0.49073,0.73534,-0.11157
everything,0.02173,0.20375,0.016315,0.67693,-0.46602,0.15124,1.6915,-0.55429,-1.0803,0.26162,-0.61959,0.91243,-5.1245,-0.25337,0.1094,0.32106,0.012691,-0.37511,0.67951,-0.40901,-0.0015301,-0.37981,-0.15657,0.93747,-0.63504
facebook,1.8545,0.000786,0.33901,-0.30362,1.1392,-0.304,0.053234,0.84017,-0.26918,0.12832,0.1685,-1.1183,-3.5827,-1.1707,-0.15102,0.72618,-0.026316,0.11115,-0.90396,-0.83639,0.30915,-1.4184,-0.46751,-0.32155,-0.63986
phone,0.45656,0.15849,0.98567,-0.36313,0.45298,-0.053306,0.96311,0.14971,0.35909,1.459,-0.42194,0.37889,-4.2793,-1.0524,0.17216,1.0459,1.045,-0.64617,-0.67133,-0.49426,0.31562,-1.182,1.157,0.30366,-1.4771
nothing,0.16153,0.5684,-0.12668,0.35667,-0.42759,0.84419,1.7493,-0.47395,-0.77475,0.2761,-0.63575,0.71921,-4.8104,-0.10104,0.38474,0.46582,-0.023778,-0.07897,0.43896,-0.5548,0.18181,0.34767,-0.20072,0.76552,-0.35511
heart,-0.67666,-0.42667,0.08336,1.1881,-0.11975,-0.19192,1.7635,0.31854,-0.16889,0.0060286,-0.2276,0.44928,-4.422,0.2048,-1.0987,0.32956,-0.43523,0.24524,0.51776,-0.54756,-0.63736,0.62678,0.52751,0.53186,-0.17866
house,-1.1589,0.40706,1.2051,-0.19056,0.11131,-0.051701,0.91339,-0.35861,0.59744,0.18681,-0.18825,-0.42439,-4.6994,-0.0090055,0.40719,-0.27002,0.32667,-0.36875,-0.48711,-0.20568,0.3559,-0.3417,0.27324,-0.3588,0.58548
already,-0.26674,0.95784,0.85408,-1.2863,-0.25857,-0.11652,1.3789,-0.63431,-1.1211,0.44065,-0.12754,0.78805,-4.7377,0.096548,0.55361,0.085504,0.36695,-0.29787,-0.30391,-0.89655,0.068798,0.18418,0.37875,0.78665,-0.020463
actually,0.19143,-0.11166,0.48052,-0.89678,-0.50321,0.2599,2.0882,-0.79426,-0.69209,-0.024274,0.18013,0.48718,-4.9426,-0.60236,0.51938,0.789,0.40785,-0.089267,0.016793,-0.93771,0.543,0.69265,-0.50457,0.52433,-0.60018
